Actividad Numero,Tipo de tarea o área de actividad ,Luxes Mínimos,,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,,,
1,Corredores y zonas de circulación,100,,"0,40",40,28,50,50,30,"1. Iluminancia a nivel del
suelo.
Ra y UGRL similares a las
áreas adyacentes.
2. 150 lx si hay vehículos
en la ruta, incluyendo la
circulación compartida con
peatones en los
parqueaderos cubiertos.
3. La iluminación de las
salidas y entradas debe
proporcionar una zona de
transición para evitar
cambios bruscos en la
iluminancia entre el interior
y el exterior durante el día
o la noche.
4. Se debe tener cuidado
para evitar el
deslumbramiento a
conductores y peatones",,,,,,
2,"Escaleras, escaleras mecánicas, travoladores",100,,"0,40",40,25,50,50,30,"1. Iluminancia a nivel del
suelo.
2. Requiere un mayor
contraste en el borde de
los escalones.",,,,,,
3,"Ascensores, montacargas",100,,"0,40",40,25,50,50,30,"1. Iluminancia a nivel del
suelo.
2. Luz en frente del
ascensor, ver Ref. 1.4. de
esta tabla",,,,,,
4,Área frente a ascensores y escaleras mecánicas,200,,"0,40",40,25,75,75,50,"1. Iluminancia a nivel del
suelo.
2. Superficie de hasta 1 m
en frente a ascensor,
montacarga y escaleras
mecánicas.",,,,,,
5,Rampas/bahías de carga,150,,"0,40",40,25,50,50,-,,,,,,,
6,Comedores y zonas de descanso,200,,"0,40",80,22,75,75,50,,,,,,,
7,Salas de descanso,100,,"0,40",80,22,50,50,30,,,,,,,
8,Salas para ejercicio físico,300,,"0,40",80,22,100,100,75,,,,,,,
9,Enfermería,500,,"0,60",80,19,150,150,100,,,,,,,
10,"Salas de planta, salas de operación de maquinaria",200,,"0,40",80,25,50,50,30,,,,,,,
11,"Clasificación de correos, tableros de conmutadores",500,,"0,60",80,19,150,150,100,,,,,,,
12,Áreas de manipulación y de empaque,300,,"0,60",80,25,100,50,30,,,,,,,
13,Preparación de materiales; trabajo en hornos y mezcladores,200,,"0,40",40,28,50,50,-,,,,,,,
14,Trabajo general de la máquina,300,,"0,60",80,25,100,100,-,,,,,,,
15,Formas ásperas,300,,"0,60",80,25,100,100,-,,,,,,,
16,"Preparación, trabajo general de la máquina",300,,"0,60",80,25,100,100,-,,,,,,,
17,"Esmaltado, laminado, prensado, conformación de piezas simples, acristalamiento, soplado de vidrio",300,,"0,60",80,25,100,100,-,,,,,,,
18,"Molienda, grabado, pulido de vidrio, conformación de piezas de precisión, fabricación de instrumentos de vidrio",750,,"0,70",80,19,150,150,100,,,,,,,
19,Moldeado manual y de núcleo,300,,"0,60",80,25,100,100,50,,,,,,,
20,Fundición a presión,300,,"0,60",80,25,100,100,50,,,,,,,
21,Construcción de modelos,500,,"0,60",80,22,150,150,75,,,,,,,
22,Peluquería,500,,"0,60",90,19,150,150,100,,,,,,,
23,Fabricación de joyas,1000,,"0,70",90,16,150,150,100,,,,,,,
24,Fabricación de relojes (manual),1500,,"0,70",80,16,150,150,100,,,,,,,
25,Marcado y clasificación de mercancías,300,,"0,60",80,25,100,100,50,,,,,,,
26,Lavado y tintorería,300,,"0,60",80,25,100,100,50,,,,,,,
27,"Planchado, prensado",300,,"0,60",80,25,100,100,50,,,,,,,
28,"Trabajos en cubas, barriles, pozos",200,,"0,40",80,25,75,75,30,,,,,,,
29,"Descarnado, pelado, frotado, volteo de pieles",300,,"0,40",80,25,100,100,50,,,,,,,
30,"Trabajo de talabartería (elaboración de artículos de cuero), fabricación de zapatos: puntadas, costura, pulido, modelado, corte, punzado ",500,,"0,60",80,22,150,150,100,,,,,,,
31,Fabricación de guantes,500,,"0,60",80,22,150,150,100,,,,,,,
32,Sala de calderas,100,,"0,40",40,28,50,50,30,,,,,,,
33,Salas de máquinas,200,,"0,40",80,25,50,50,30,,,,,,,
34,"Salas laterales, cuartos de bombas, cuartos de condensadores, etc.; tableros de distribución (dentro de los edificios)",200,,"0,40",80,25,50,50,30,,,,,,,
35,"Corte, estampado, realce, grabado en bloque, trabajos sobre piedras y platinas, máquinas de impresión, fabricación de matrices",500,,"0,60",80,19,150,150,75,,,,,,,
36,Clasificación de papel e impresión a mano,500,,"0,60",80,19,150,150,75,,,,,,,
37,"Ajuste de tipos, retoques, litografía",1000,,"0,70",80,19,150,150,100,,,,,,,
38,Plantas de producción con operación manual ocasional,150,,"0,40",40,28,50,50,30,,,,,,,
39,Plantas de producción con operación manual continua,200,,"0,60",80,25,50,50,30,,,,,,,
40,Tren del molino; enrollado; línea de corte,300,,"0,60",40,25,75,75,30,,,,,,,
41,"Ensayo, medición e inspección",500,,"0,60",80,22,150,150,100,,,,,,,
42,Puestos de trabajo y zonas en baños,200,,"0,60",60,25,50,50,30,,,,,,,
43,"Cardado de textil, lavado, planchado, trabajo en máquina dentada, dibujo, peinado, dimensionamiento, corte de tarjetas, pre-hilado, hilado de yute y cáñamo",300,,"0,60",40,22,100,100,50,,,,,,,
44,"Cosido, tejido fino, tomada de puntadas",750,,"0,70",80,22,150,150,100,,,,,,,
45,"Acabado, teñido",500,,"0,60",80,22,150,150,100,,,,,,,
46,Sala de secado,100,,"0,40",60,28,50,50,30,,,,,,,
47,Impresión automática de telas,500,,"0,60",90,25,100,100,50,,,,,,,
48,Fabricación de sombreros,500,,"0,60",80,22,150,150,75,,,,,,,
49,Taller de prensa -inspección visual,500,,"0,60",80,22,150,50,30,,,,,,,
50,Trabajo de carrocería y montaje - línea automática,300,,"0,60",80,25,100,50,30,,,,,,,
51,Trabajo de carrocería y montaje -soldadura manual,500,,"0,60",80,22,150,50,30,,,,,,,
52,"Pintura, cámara de pulverización, cámara de pulido",750,,"0,70",80,22,150,150,30,,,,,,,
