Codigo Puesto,Nombre del Puesto o Area Medida,Luxes Mínimos
1,1.1 Corredores y zonas de circulación,100
2,"1.2 Escaleras, escaleras mecánicas, travoladores",100
3,"1.3 Ascensores, montacargas",100
4,1.4 Área frente a ascensores y escaleras mecánicas,200
5,1.5 Rampas/bahías de carga,150
6,1.6 Entrada de edificio con toldo o marquesina,30
7,1.7 Pasarelas: tripuladas,150
8,2.1 Comedores y zonas de descanso,200
9,2.2 Salas de descanso,100
10,2.3 Salas para ejercicio físico,300
11,"2.4 Áreas de guardarropas, baños, vestidores, casilleros, duchas, lavabos e inodoros",200
12,2.5 Iluminación facial frente a espejos,200
13,2.6 Enfermería,500
14,2.7 Habitaciones para atención médica,500
15,2.8 Limpieza general,100
16,"3.1 Salas de planta, salas de operación de maquinaria",200
17,"3.2 Clasificación de correos, tableros de conmutadores",500
18,3.3 Estación de vigilancia,300
19,"4.1 Almacenamiento y alacenas, lavamanos y filtros sanitarios",220
20,4.2 Áreas de manipulación y de empaque,300
21,4.3 Despensa,200
22,"4.4 Puntos de inspección, salas de sacrificio, procesamiento o desprese y áreas en las que se trabaje con cuchillos, rebanadoras, molinos y sierras",550
23,5.1 Área de descarga / carga,200
24,5.2 Área de empaque / agrupación,300
25,5.3 Configuración y remanipulación,750
26,5.4 Almacenamiento abierto de mercancías,200
27,5.5 Almacenamiento en estante - suelo,150
28,5.6 Almacenamiento en estante: cara del estante,75
29,5.7 Corredor logístico central (tráfico pesado),300
30,5.8 Zonas automatizadas (no tripuladas),75
31,"6.1 Carga y operación de mercancías, manipulación de equipos y maquinaria",200
32,6.2 Edificios para ganado,50
33,"6.3 Corrales para animales enfermos, establos de parto",200
34,"6.4 Preparación de alimento, lácteos, lavado de utensilios",200
35,7.1 Preparación y horneado,300
36,"7.2 Acabado, glaseado, decoración",500
37,8.1 Secado,50
38,8.2 Preparación de materiales; trabajo en hornos y mezcladores,200
39,8.3 Trabajo general de la máquina,300
40,8.4 Formas ásperas,300
41,9.1 Secado,50
42,"9.2 Preparación, trabajo general de la máquina",300
43,"9.3 Esmaltado, laminado, prensado, conformación de piezas simples, acristalamiento, soplado de vidrio",300
44,"9.4 Molienda, grabado, pulido de vidrio, conformación de piezas de precisión, fabricación de instrumentos de vidrio",750
45,"9.5 Molienda de vidrio óptico, cristal, molienda a mano y grabado",750
46,"9.6 Trabajos de precisión, por ejemplo, molienda decorativa, pintura a mano",1000
47,9.7 Fabricación de piedras preciosas sintéticas,1500
48,10.1 Instalaciones de procesamiento operadas a distancia,50
49,10.2 Instalaciones de procesamiento con intervención manual limitada,150
50,10.3 Estaciones de trabajo constantemente atendidas en instalaciones de procesamiento,300
